Time(us)	TipPos(nm)	CosRef(nm)	Force(nN)	SamplePos(nm)
833.7090000663	12.9838158325	8.9776209774	0.0000000000	-0.1503311228
833.7108333996	12.9808326602	8.9746028457	0.0000000000	-0.1490830980
833.7126667330	12.9774207852	8.9711560090	0.0000000000	-0.1478454340
833.7145000663	12.9735803762	8.9672806318	0.0000000000	-0.1466180450
833.7163333996	12.9693116173	8.9629768993	0.0000000000	-0.1454008456
833.7181667330	12.9646147074	8.9582450172	0.0000000000	-0.1441937511
833.7200000663	12.9594898596	8.9530852113	0.0000000000	-0.1429966778
833.7218333996	12.9539373010	8.9474977283	0.0000000000	-0.1418095423
833.7236667330	12.9479572721	8.9414828350	0.0000000000	-0.1406322623
833.7255000663	12.9415500270	8.9350408187	0.0000000000	-0.1394647558
833.7273333996	12.9347158329	8.9281719871	0.0000000000	-0.1383069418
833.7291667330	12.9274549708	8.9208766685	0.0000000000	-0.1371587398
833.7310000663	12.9197677351	8.9131552112	0.0000000000	-0.1360200700
833.7328333996	12.9116544345	8.9050079841	0.0000000000	-0.1348908533
833.7346667330	12.9031153919	8.8964353764	0.0000000000	-0.1337710111
833.7365000663	12.8941509454	8.8874377976	0.0000000000	-0.1326604656
833.7383333996	12.8847614489	8.8780156774	0.0000000000	-0.1315591398
833.7401667330	12.8749472726	8.8681694661	0.0000000000	-0.1304669569
833.7420000663	12.8647088043	8.8578996339	0.0000000000	-0.1293838412
833.7438333996	12.8540464497	8.8472066713	0.0000000000	-0.1283097174
833.7456667330	12.8429606342	8.8360910893	0.0000000000	-0.1272445107
833.7475000663	12.8314518031	8.8245534187	0.0000000000	-0.1261881472
833.7493333996	12.8195204233	8.8125942107	0.0000000000	-0.1251405535
833.7511667330	12.8071669839	8.8002140365	0.0000000000	-0.1241016567
833.7530000663	12.7943919975	8.7874134877	0.0000000000	-0.1230713847
833.7548333996	12.7811960014	8.7741931755	0.0000000000	-0.1220496659
833.7566667330	12.7675795580	8.7605537316	0.0000000000	-0.1210364291
833.7585000663	12.7535432565	8.7464958075	0.0000000000	-0.1200316042
833.7603333996	12.7390877133	8.7320200747	0.0000000000	-0.1190351211
833.7621667330	12.7242135730	8.7171272246	0.0000000000	-0.1180469106
833.7640000663	12.7089215090	8.7018179688	0.0000000000	-0.1170669041
833.7658333996	12.6932122242	8.6860930385	0.0000000000	-0.1160950335
833.7676667330	12.6770864515	8.6699531849	0.0000000000	-0.1151312312
833.7695000663	12.6605449542	8.6533991789	0.0000000000	-0.1141754302
833.7713333996	12.6435885263	8.6364318113	0.0000000000	-0.1132275641
833.7731667330	12.6262179923	8.6190518927	0.0000000000	-0.1122875671
833.7750000663	12.6084342076	8.6012602532	0.0000000000	-0.1113553738
833.7768333996	12.5902380583	8.5830577427	0.0000000000	-0.1104309193
833.7786667330	12.5716304605	8.5644452307	0.0000000000	-0.1095141396
833.7805000663	12.5526123606	8.5454236064	0.0000000000	-0.1086049708
833.7823333996	12.5331847338	8.5259937783	0.0000000000	-0.1077033498
833.7841667330	12.5133485845	8.5061566746	0.0000000000	-0.1068092139
833.7860000663	12.4931049446	8.4859132430	0.0000000000	-0.1059225010
833.7878333996	12.4724548734	8.4652644503	0.0000000000	-0.1050431494
833.7896667330	12.4513994559	8.4442112830	0.0000000000	-0.1041710980
833.7915000663	12.4299398024	8.4227547467	0.0000000000	-0.1033062863
833.7933333996	12.4080770468	8.4008958664	0.0000000000	-0.1024486541
833.7951667330	12.3858123461	8.3786356863	0.0000000000	-0.1015981419
833.7970000663	12.3631468786	8.3559752697	0.0000000000	-0.1007546904
833.7988333996	12.3400818430	8.3329156991	0.0000000000	-0.0999182412
833.8006667330	12.3166184571	8.3094580759	0.0000000000	-0.0990887360
833.8025000663	12.2927579566	8.2856035208	0.0000000000	-0.0982661172
833.8043333996	12.2685015940	8.2613531732	0.0000000000	-0.0974503277
833.8061667330	12.2438506375	8.2367081916	0.0000000000	-0.0966413107
833.8080000663	12.2188063695	8.2116697532	0.0000000000	-0.0958390101
833.8098333996	12.1933700865	8.1862390540	0.0000000000	-0.0950433701
833.8116667330	12.1675430971	8.1604173088	0.0000000000	-0.0942543353
833.8135000663	12.1413267222	8.1342057512	0.0000000000	-0.0934718509
833.8153333996	12.1147222935	8.1076056331	0.0000000000	-0.0926958626
833.8171667330	12.0877311534	8.0806182253	0.0000000000	-0.0919263165
833.8190000663	12.0603546544	8.0532448170	0.0000000000	-0.0911631590
833.8208333996	12.0325941587	8.0254867156	0.0000000000	-0.0904063371
833.8226667330	12.0044510378	7.9973452472	0.0000000000	-0.0896557982
833.8245000663	11.9759266730	7.9688217561	0.0000000000	-0.0889114902
833.8263333996	11.9470224550	7.9399176047	0.0000000000	-0.0881733613
833.8281667330	11.9177397838	7.9106341739	0.0000000000	-0.0874413602
833.8300000663	11.8880800698	7.8809728623	0.0000000000	-0.0867154361
833.8318333996	11.8580447336	7.8509350870	0.0000000000	-0.0859955384
833.8336667330	11.8276352064	7.8205222828	0.0000000000	-0.0852816173
833.8355000663	11.7968529312	7.7897359024	0.0000000000	-0.0845736230
833.8373333996	11.7656993631	7.7585774165	0.0000000000	-0.0838715064
833.8391667330	11.7341759700	7.7270483134	0.0000000000	-0.0831752186
833.8410000663	11.7022842336	7.6951500994	0.0000000000	-0.0824847113
833.8428333996	11.6700256502	7.6628842981	0.0000000000	-0.0817999365
833.8446667330	11.6374017317	7.6302524508	0.0000000000	-0.0811208466
833.8465000663	11.6044140063	7.5972561162	0.0000000000	-0.0804473943
833.8483333996	11.5710640195	7.5638968707	0.0000000000	-0.0797795330
833.8501667330	11.5373533352	7.5301763077	0.0000000000	-0.0791172161
833.8520000663	11.5032835362	7.4960960380	0.0000000000	-0.0784603977
833.8538333996	11.4688562252	7.4616576896	0.0000000000	-0.0778090321
833.8556667330	11.4340730256	7.4268629075	0.0000000000	-0.0771630740
833.8575000663	11.3989355820	7.3917133539	0.0000000000	-0.0765224786
833.8593333996	11.3634455609	7.3562107077	0.0000000000	-0.0758872013
833.8611667330	11.3276046512	7.3203566650	0.0000000000	-0.0752571979
833.8630000663	11.2914145646	7.2841529384	0.0000000000	-0.0746324248
833.8648333996	11.2548770357	7.2476012573	0.0000000000	-0.0740128384
833.8666667330	11.2179938221	7.2107033678	0.0000000000	-0.0733983957
833.8685000663	11.1807667050	7.1734610323	0.0000000000	-0.0727890540
